Country,TerrorismAttacks
Afghanistan,1414
Albania,1
Algeria,14
Angola,6
Argentina,3
Australia,4
Austria,1
Azerbaijan,2
Bahrain,21
Bangladesh,41
Belgium,3
Brazil,2
Burkina Faso,32
Burundi,21
Cameroon,94
Canada,12
Central African Republic,43
Chad,6
Chile,12
China,6
Colombia,117
Czech Republic,3
Democratic Republic of the Congo,143
Djibouti,1
Dominican Republic,1
Ecuador,3
Egypt,224
Ethiopia,27
Finland,2
France,41
Gabon,4
Georgia,1
Germany,27
Greece,43
Honduras,1
India,966
Indonesia,27
Iran,11
Iraq,2466
Ireland,17
Israel,32
Italy,8
Ivory Coast,13
Jamaica,2
Jordan,8
Kenya,97
Kosovo,8
Kyrgyzstan,2
Laos,1
Latvia,1
Lebanon,23
Liberia,1
Libya,190
Macedonia,1
Malawi,1
Malaysia,4
Maldives,2
Mali,141
Malta,3
Mexico,20
Mozambique,11
Myanmar,115
Nepal,247
Netherlands,1
Niger,13
Nigeria,484
Norway,1
Pakistan,719
Papua New Guinea,8
Paraguay,10
Peru,8
Philippines,692
Poland,1
Russia,33
Rwanda,2
Saudi Arabia,54
Serbia,1
Sierra Leone,3
Somalia,614
South Africa,29
South Sudan,54
Spain,4
Sri Lanka,41
Sudan,106
Sweden,18
Syria,243
Taiwan,1
Tajikistan,2
Tanzania,6
Thailand,179
Tunisia,4
Turkey,181
Uganda,13
Ukraine,61
United Kingdom,122
United States,65
Venezuela,17
Vietnam,2
West Bank and Gaza Strip,83
Yemen,226
Zambia,2
Zimbabwe,3
